"ano","mes","InstSalud","Nombre","cuenta","ingreso_mensual"
"2024","1",1,"Salud Ltda.","16","76655575"
"2024","1",2,"Colmena de avispas S.A.","16","121636435"
"2024","1",3,"Fundación e imperio","12","58529418"
"2024","1",4,"Cruz de Malta S.A.","15","49642566"
"2024","1",5,"Vida uno S.A.","23","149310346"
"2024","1",6,"Menos vida S.A.","18","82284529"
"2024","1",7,"Cruz pal cielo Ltda.","14","31410390"
"2024","1",8,"Medibanc S.A.","20","123708664"
"2024","1",9,"sinsalud S.A.","20","117213225"
"2024","1",10,"especial S.A.","21","96931585"
"2024","1",11,"FONASA","20","157268644"
"2024","1",NULL,NULL,"11","45451064"
"2024","2",1,"Salud Ltda.","15","80502110"
"2024","2",2,"Colmena de avispas S.A.","22","95256971"
"2024","2",3,"Fundación e imperio","14","262852958"
"2024","2",4,"Cruz de Malta S.A.","14","77132164"
"2024","2",5,"Vida uno S.A.","14","99284658"
"2024","2",6,"Menos vida S.A.","18","89071282"
"2024","2",7,"Cruz pal cielo Ltda.","15","84814609"
"2024","2",8,"Medibanc S.A.","13","48568124"
"2024","2",9,"sinsalud S.A.","12","253436542"
"2024","2",10,"especial S.A.","19","410875651"
"2024","2",11,"FONASA","20","525811175"
"2024","2",NULL,NULL,"21","280039173"
"2024","3",1,"Salud Ltda.","22","119985210"
"2024","3",2,"Colmena de avispas S.A.","22","86456519"
"2024","3",3,"Fundación e imperio","15","159385230"
"2024","3",4,"Cruz de Malta S.A.","14","126759386"
"2024","3",5,"Vida uno S.A.","21","435248944"
"2024","3",6,"Menos vida S.A.","12","88647945"
"2024","3",7,"Cruz pal cielo Ltda.","13","277363778"
"2024","3",8,"Medibanc S.A.","13","45798311"
"2024","3",9,"sinsalud S.A.","21","101574504"
"2024","3",10,"especial S.A.","16","106343225"
"2024","3",11,"FONASA","17","213152737"
"2024","3",NULL,NULL,"17","63895370"
"2024","4",1,"Salud Ltda.","20","57256812"
"2024","4",2,"Colmena de avispas S.A.","15","112354506"
"2024","4",3,"Fundación e imperio","17","70306021"
"2024","4",4,"Cruz de Malta S.A.","14","75057908"
"2024","4",5,"Vida uno S.A.","21","60381689"
"2024","4",6,"Menos vida S.A.","14","58665306"
"2024","4",7,"Cruz pal cielo Ltda.","10","55651074"
"2024","4",8,"Medibanc S.A.","11","43693512"
"2024","4",9,"sinsalud S.A.","20","291989431"
"2024","4",10,"especial S.A.","12","165105753"
"2024","4",11,"FONASA","7","66052541"
"2024","4",NULL,NULL,"17","55139392"
"2024","5",1,"Salud Ltda.","22","227881829"
"2024","5",2,"Colmena de avispas S.A.","20","73367544"
"2024","5",3,"Fundación e imperio","14","123627194"
"2024","5",4,"Cruz de Malta S.A.","19","66701492"
"2024","5",5,"Vida uno S.A.","13","129651991"
"2024","5",6,"Menos vida S.A.","10","148360551"
"2024","5",7,"Cruz pal cielo Ltda.","13","238759583"
"2024","5",8,"Medibanc S.A.","10","22921517"
"2024","5",9,"sinsalud S.A.","10","30096175"
"2024","5",10,"especial S.A.","21","84135329"
"2024","5",11,"FONASA","18","242074913"
"2024","5",NULL,NULL,"16","90851594"
"2024","6",1,"Salud Ltda.","20","68939952"
"2024","6",2,"Colmena de avispas S.A.","15","99921924"
"2024","6",3,"Fundación e imperio","19","71491987"
"2024","6",4,"Cruz de Malta S.A.","18","73322234"
"2024","6",5,"Vida uno S.A.","18","68995864"
"2024","6",6,"Menos vida S.A.","16","389110536"
"2024","6",7,"Cruz pal cielo Ltda.","15","67575451"
"2024","6",8,"Medibanc S.A.","12","82818897"
"2024","6",9,"sinsalud S.A.","17","97400171"
"2024","6",10,"especial S.A.","17","75577494"
"2024","6",11,"FONASA","19","185830672"
"2024","6",NULL,NULL,"10","52398408"
"2024","7",1,"Salud Ltda.","11","53117227"
"2024","7",2,"Colmena de avispas S.A.","19","68928660"
"2024","7",3,"Fundación e imperio","14","41553332"
"2024","7",4,"Cruz de Malta S.A.","14","111182993"
"2024","7",5,"Vida uno S.A.","21","143744034"
"2024","7",6,"Menos vida S.A.","18","138914380"
"2024","7",7,"Cruz pal cielo Ltda.","19","45556209"
"2024","7",8,"Medibanc S.A.","21","128641612"
"2024","7",9,"sinsalud S.A.","18","82499072"
"2024","7",10,"especial S.A.","16","49402909"
"2024","7",11,"FONASA","12","45865277"
"2024","7",NULL,NULL,"24","479814139"
"2024","8",1,"Salud Ltda.","18","124637829"
"2024","8",2,"Colmena de avispas S.A.","13","43361639"
"2024","8",3,"Fundación e imperio","13","113425136"
"2024","8",4,"Cruz de Malta S.A.","10","360495020"
"2024","8",5,"Vida uno S.A.","19","132345235"
"2024","8",6,"Menos vida S.A.","22","106414126"
"2024","8",7,"Cruz pal cielo Ltda.","14","46927956"
"2024","8",8,"Medibanc S.A.","14","72854027"
"2024","8",9,"sinsalud S.A.","14","125503574"
"2024","8",10,"especial S.A.","15","126531995"
"2024","8",11,"FONASA","19","75676185"
"2024","8",NULL,NULL,"14","202436378"
"2024","9",1,"Salud Ltda.","20","109954735"
"2024","9",2,"Colmena de avispas S.A.","15","94865071"
"2024","9",3,"Fundación e imperio","11","23990423"
"2024","9",4,"Cruz de Malta S.A.","10","42282953"
"2024","9",5,"Vida uno S.A.","19","123402509"
"2024","9",6,"Menos vida S.A.","17","56001580"
"2024","9",7,"Cruz pal cielo Ltda.","21","48808789"
"2024","9",8,"Medibanc S.A.","16","58716487"
"2024","9",9,"sinsalud S.A.","17","164011374"
"2024","9",10,"especial S.A.","11","27555460"
"2024","9",11,"FONASA","13","36981633"
"2024","9",NULL,NULL,"13","69726583"
"2024","10",1,"Salud Ltda.","20","122363196"
"2024","10",2,"Colmena de avispas S.A.","17","83855292"
"2024","10",3,"Fundación e imperio","22","265994584"
"2024","10",4,"Cruz de Malta S.A.","13","227445749"
"2024","10",5,"Vida uno S.A.","12","51470111"
"2024","10",6,"Menos vida S.A.","24","167840166"
"2024","10",7,"Cruz pal cielo Ltda.","15","61816489"
"2024","10",8,"Medibanc S.A.","11","107379620"
"2024","10",9,"sinsalud S.A.","19","395201406"
"2024","10",10,"especial S.A.","17","324458521"
"2024","10",11,"FONASA","13","89085383"
"2024","10",NULL,NULL,"17","116318744"
"2024","11",1,"Salud Ltda.","21","162203616"
"2024","11",2,"Colmena de avispas S.A.","21","117594222"
"2024","11",3,"Fundación e imperio","23","98754625"
"2024","11",4,"Cruz de Malta S.A.","11","37818312"
"2024","11",5,"Vida uno S.A.","18","58449134"
"2024","11",6,"Menos vida S.A.","17","74772552"
"2024","11",7,"Cruz pal cielo Ltda.","13","76239325"
"2024","11",8,"Medibanc S.A.","12","382985281"
"2024","11",9,"sinsalud S.A.","16","74979282"
"2024","11",10,"especial S.A.","14","77163654"
"2024","11",11,"FONASA","16","124510791"
"2024","11",NULL,NULL,"26","132979588"
"2024","12",1,"Salud Ltda.","11","44910536"
"2024","12",2,"Colmena de avispas S.A.","15","68361371"
"2024","12",3,"Fundación e imperio","11","74269970"
"2024","12",4,"Cruz de Malta S.A.","13","165417658"
"2024","12",5,"Vida uno S.A.","15","237920234"
"2024","12",6,"Menos vida S.A.","16","48368908"
"2024","12",7,"Cruz pal cielo Ltda.","14","32521453"
"2024","12",8,"Medibanc S.A.","17","66215988"
"2024","12",9,"sinsalud S.A.","13","168474938"
"2024","12",10,"especial S.A.","21","346377582"
"2024","12",11,"FONASA","20","131041735"
"2024","12",NULL,NULL,"16","106418384"
"2025","1",1,"Salud Ltda.","16","81679036"
"2025","1",2,"Colmena de avispas S.A.","23","338765258"
"2025","1",3,"Fundación e imperio","17","123044452"
"2025","1",4,"Cruz de Malta S.A.","21","123157204"
"2025","1",5,"Vida uno S.A.","16","56934458"
"2025","1",6,"Menos vida S.A.","15","108986190"
"2025","1",7,"Cruz pal cielo Ltda.","8","20494715"
"2025","1",8,"Medibanc S.A.","16","69625602"
"2025","1",9,"sinsalud S.A.","20","103778654"
"2025","1",10,"especial S.A.","18","80306863"
"2025","1",11,"FONASA","17","71185640"
"2025","1",NULL,NULL,"18","120904176"
"2025","2",1,"Salud Ltda.","13","64495491"
"2025","2",2,"Colmena de avispas S.A.","30","172854043"
"2025","2",3,"Fundación e imperio","14","69265749"
"2025","2",4,"Cruz de Malta S.A.","14","56001148"
"2025","2",5,"Vida uno S.A.","17","58232034"
"2025","2",6,"Menos vida S.A.","17","67815455"
"2025","2",7,"Cruz pal cielo Ltda.","7","33724082"
"2025","2",8,"Medibanc S.A.","16","64424795"
"2025","2",9,"sinsalud S.A.","13","62488044"
"2025","2",10,"especial S.A.","14","96160788"
"2025","2",11,"FONASA","10","29803067"
"2025","2",NULL,NULL,"15","46390217"
"2025","3",1,"Salud Ltda.","21","88866887"
"2025","3",2,"Colmena de avispas S.A.","17","73912309"
"2025","3",3,"Fundación e imperio","17","336177524"
"2025","3",4,"Cruz de Malta S.A.","9","43299323"
"2025","3",5,"Vida uno S.A.","18","71369218"
"2025","3",6,"Menos vida S.A.","19","96869255"
"2025","3",7,"Cruz pal cielo Ltda.","18","104622096"
"2025","3",8,"Medibanc S.A.","13","125099457"
"2025","3",9,"sinsalud S.A.","22","99370933"
"2025","3",10,"especial S.A.","16","77682789"
"2025","3",11,"FONASA","13","401282739"
"2025","3",NULL,NULL,"15","266609497"
"2025","4",1,"Salud Ltda.","15","59696797"
"2025","4",2,"Colmena de avispas S.A.","13","91516936"
"2025","4",3,"Fundación e imperio","18","188021759"
"2025","4",4,"Cruz de Malta S.A.","15","79716244"
"2025","4",5,"Vida uno S.A.","17","82587528"
"2025","4",6,"Menos vida S.A.","15","71071008"
"2025","4",7,"Cruz pal cielo Ltda.","20","166593284"
"2025","4",8,"Medibanc S.A.","16","41610962"
"2025","4",9,"sinsalud S.A.","17","56650141"
"2025","4",10,"especial S.A.","12","49188393"
"2025","4",11,"FONASA","18","105128110"
"2025","4",NULL,NULL,"15","107611962"
"2025","5",1,"Salud Ltda.","16","397313474"
"2025","5",2,"Colmena de avispas S.A.","22","127790861"
"2025","5",3,"Fundación e imperio","17","86870626"
"2025","5",4,"Cruz de Malta S.A.","16","115993103"
"2025","5",5,"Vida uno S.A.","11","195565074"
"2025","5",6,"Menos vida S.A.","18","108352257"
