"Medicamento","cuenta"
"RUXOLITINIB 15 MG CM/CM REC","13"
"CODEINA FOSFATO PVO FARMACOPEA FRA50A60G","11"
"PALIPERIDONA 50MG SUSP INY.LIB.PROL","11"
"CALCIO/VITAMINA D 450A600 MG/400UI CM/CP","10"
"GLUCAGON 1 MG LIOF SOL INYECT FAM","10"
"SITAGLIPTINA/METFORMINA 50/850MG CM REC","10"
"CIPROFLOXACIN 200MG/100ML SOL INY FAM/BO","10"
"LOSARTAN 100 MG CM/CM REC","9"
"LEVOSULPIRIDA 25MG/2ML SOL INY AM","9"
"ACIDO TRANEX. 1G/10 ML SOL INY AMP O FAM","9"
"EMPAGLIFLOZINA/METFOR 12 5/1000MG CM REC","9"
"OSELTAMIVIR 12 MG/ML 70 A 75 ML FRASCO","9"
"POVIDONA YODADA 10 A 11% FRA 1L SOL.TOP.","9"
"METRONIDAZOL 0 75 % GEL TU/PM 30G","9"
"CICLOSPORINA 25 MG CP BLANDA","9"
"PARGEVERINA 5MG/ML SOL.ORAL FRA 10A 15ML","9"
"LEVOTIROXINA 100 MCG CM RANURADO","9"
"FLUMAZENIL 0 5 MG/5 ML SOL. INY. AM/FAM","9"
"TRAVOPROST 0 004% SOL.OFT FRA 2 5 A 3 ML","8"
"AZTREONAM 1000 MG FAM POLV P/SOL INYECT","8"
"MIDOSTAURINA 25 MG CP/CM REC","8"
"CARBAMAZEPINA 400 MG CM LIB.PROLONG/SOST","8"
"ALPRAZOLAM 0 50 MG CM/CM REC","8"
"VORICONAZOL 200 MG CM REC.","8"
"HALOPERIDOL 5 MG CM/CM REC","8"
"ABACAVIR 20 MG/ML SOL ORAL 200A240ML FRA","8"
"CLORFENAMINA 4 MG CM/CM REC","8"
"FLAVOXATO 200 MG CM/CM REC","8"
"TAPENTADOL 50 MG CM REC","8"
"CALCIO CLORURO 10% AM 10 ML","8"
"IMIPENEM-CILASTATINA 500/500 MG LIOF FAM","8"
"ALUMINIO HIDROX./MAGNESIO SUSP.ORAL FRA","8"
"MEDROXIPROGESTERONA ESTRADIOL 25/5MG JRP","8"
"DABIGATRAN 110 MG CP","8"
"CISPLATINO 50 MG/50 ML SOL. INY. FAM","8"
"BRIMONID/TIMOL 0 2G/0 5G SOL.OFT FRA 5ML","8"
"TIAMINA 30 MG/1 ML SOL. INY. AM","8"
"METADONA 10 MG CP/CM/CM REC","8"
"MOMETASONA 50 MCG/DO SUS. NASAL NEB FRA","8"
"ACIDO VALPROICO 500 MG CM/CP REC ENT","8"
"MELOXICAM 15 MG CM/CM REC","8"
"FLUOROURACILO 500 MG/10 ML SOL. INY. FAM","8"
"METFORMINA 1000 MG CM REC","8"
