Codigo interno;Código FONASA;CONSULTAS Y ATENCION MEDICA;valor  
1703;302035;"Fármacos y/o drogas; niveles plasmáticos de (alcohol, anorexígenos, antiarrítmicos, antibióticos, antidepresivos, antiepilépticos, antihistamínicos, antiinflamatorios y analgésicos, estimulantes respiratorios, tranquilizantes mayores y menores, etc.) c/u";24360
8074;302099;"Pesquisa neonatal ampliada en GSS (incluye perfil de aminoácidos y acilcarnitinas; succinilacetona; hormona tiroestimulante, neonatal; biotinidasa; galactosa total; galactosa-1-fosfato uridiltransferasa; 17-hidroxiprogesterona; tripsina inmunorreactiva).";222120
7147;303030;Estradiol (17-Beta);
1570;303039;"Gonadotrofina coriónica, sub-unidad Beta; titulación por (Elisa; RIA o IRMA; Quimioluminiscencia u otra técnica)";45520
9377;306026;"Antibiograma Corriente (mínimo 10 fármacos) (en caso de urocultivo no corresponde su cobro; incluido en el valor 03-06-011)";29700
5746;306027;"Antibiograma de estudio de sensibilidad por dilución (CIM) (mínimo 6 fármacos) (en caso de urocultivo, no corresponde su cobro; incluido en el valor código 03-06-011)";33320
4878;306069;"Anticuerpos virales, determ. de (SARS  CoV-2  IgM, IgG), (adenovirus, citomegalovirus, herpes simple, rubéola, influenza  A y B; virus varicela-zoster; virus sincicial respiratorio; parainfluenza 1, 2 y 3; Epstein Barr , otros) c/u";48320
7779;308039;"Madurez fetal completa (físico; células anaranjadas, bilirrubina, test de Clements, creatinina, contaminantes)";57330
5138;309023;"Orina, físico-químico ( aspecto, color, densidad, pH; proteínas, glucosa, cuerpos cetónicos, urobilinogeno, bilirrubina, hemoglobina y nitritos, determinación cualitativa o semi cuantitativa) todos o cada uno de los parámetros (proc. aut.)";2500
5007;401052;"Radiografía de pelvis, cadera o coxofemoral, proyecciones especiales; (rotación interna, abducción, lateral, Lawenstein u otras)";24360
5757;402011;"Histerosalpingografía (a.c. 20-01-013) (4 exp.; incluye prueba de Cotte tardía)";47400
";43100
8584;1201040-3;"Puntos lagrimales; electrotermocoagulación";13280
1912;1301024;"Senos perinasales, punción evacuadora c/s toma de muestras, c/s inyección de medicamentos; cada punción";6600
8432;1402028-6;"Resección cutánea ampliada (incluye musculatura, ganglios y huesos subyacentes; desplazamiento de colgajos)";1008650
2648;1402038-7;"**Maxilectomía parcial (incluye paladar óseo; reparación con colgajo)";3053200
8348;1701006;"E.C.G. continuo (test Holter o similares, por ej. variabilidad de la frecuencia cardíaca y/o alta resolución del ST y/o depolarización tardía); 20 a 24 horas de registro";307080
7977;1701131;"Angioplastía Intraluminal coronaria uno o múltiples vasos (incl. proc. rad; balón, rotablator, Stent o similar)";13445300
2547;1703010-10;"Puente aorto-bifemoral; puentes de troncos supra-aórticos";6036660
3092;1703012-12;"Puente aorto-visceral (renal, mesentérico o similar); c/u";5831640
7404;1703020-10;"Otras derivaciones: fémoro–femoral, axilo-humeral, axilo-femoral, carótidosubclavio, axilo-axilar o similares; c/u";2948700
1538;1703027-5;"Ligadura otros troncos venosos (poplíteo, femoral, ilíacas, humeral, axilar, otros); ligadura de venas comunicantes y/o perforantes, y/o resección de paquetes varicosos, cualquier técnica (una extremidad); c/u";1618080
6708;1703061-14;"- De complejidad mayor: incluye reemplazo valvular múltiple, tres o más puentes aortocoronarios y/o anastomosis con arteria mamaria, corrección de cardiopatías congénitas complejas (por ejemplo: Fallot; atresia tricuspídea; doble salida del ventrículo derecho; transposición grandes vasos; ventrículo único o similares), aneurisma aórtico torácico, trasplante cardíaco y cualquier operación cardíaca en lactantes";43625340
2792;1703062-14;"- De complejidad mediana: incluye comunicación interventricular, reemplazo univalvular, uno o dos puentes aortocoronarios; aneurisma ventricular, corrección de Wolf-Parkinson White y otras arritmias";2934870
8880;1704001-10;"Cirugía del opérculo torácico (resección de primera costilla, cualquier abordaje); unilateral";3748200
5989;1704056-12;"Esofagectomía con restitución del tránsito mediante estómago o intestino; parcial o total";751430
7271;1802005-7;"Onfalocele (hasta 5 cms.); trat. quir.";1146650
3902;1802006-7;"Onfalocele (más de 5 cms.); trat. quir.";2411190
3609;1902073-5;"Quistes del cordón, y/o epidídimo, extirpación; epididimotomía diagnóstica y/o terapéutica (proc. aut.)";1277850
6536;2104054-6;"Fractura supracondílea niño; tracción esquelética, c/s osteosíntesis y aparato de yeso";1426020
5592;2104106-8;"Sutura nervio(s) digital(es); microcirugía";581340
1703;302035;"Fármacos y/o drogas; niveles plasmáticos de (alcohol, anorexígenos, antiarrítmicos, antibióticos, antidepresivos, antiepilépticos, antihistamínicos, antiinflamatorios y analgésicos, estimulantes respiratorios, tranquilizantes mayores y menores, etc.) c/u";24360
8074;302099;"Pesquisa neonatal ampliada en GSS (incluye perfil de aminoácidos y acilcarnitinas; succinilacetona; hormona tiroestimulante, neonatal; biotinidasa; galactosa total; galactosa-1-fosfato uridiltransferasa; 17-hidroxiprogesterona; tripsina inmunorreactiva).";222120
7147;303030;Estradiol (17-Beta);
1570;303039;"Gonadotrofina coriónica, sub-unidad Beta; titulación por (Elisa; RIA o IRMA; Quimioluminiscencia u otra técnica)";45520
9377;306026;"Antibiograma Corriente (mínimo 10 fármacos) (en caso de urocultivo no corresponde su cobro; incluido en el valor 03-06-011)";29700
5746;306027;"Antibiograma de estudio de sensibilidad por dilución (CIM) (mínimo 6 fármacos) (en caso de urocultivo, no corresponde su cobro; incluido en el valor código 03-06-011)";33320
4878;306069;"Anticuerpos virales, determ. de (SARS  CoV-2  IgM, IgG), (adenovirus, citomegalovirus, herpes simple, rubéola, influenza  A y B; virus varicela-zoster; virus sincicial respiratorio; parainfluenza 1, 2 y 3; Epstein Barr , otros) c/u";48320
7779;308039;"Madurez fetal completa (físico; células anaranjadas, bilirrubina, test de Clements, creatinina, contaminantes)";57330
5138;309023;"Orina, físico-químico ( aspecto, color, densidad, pH; proteínas, glucosa, cuerpos cetónicos, urobilinogeno, bilirrubina, hemoglobina y nitritos, determinación cualitativa o semi cuantitativa) todos o cada uno de los parámetros (proc. aut.)";2500
5007;401052;"Radiografía de pelvis, cadera o coxofemoral, proyecciones especiales; (rotación interna, abducción, lateral, Lawenstein u otras)";24360
5757;402011;"Histerosalpingografía (a.c. 20-01-013) (4 exp.; incluye prueba de Cotte tardía)";47400
";43100
8584;1201040-3;"Puntos lagrimales; electrotermocoagulación";13280
1912;1301024;"Senos perinasales, punción evacuadora c/s toma de muestras, c/s inyección de medicamentos; cada punción";6600
8432;1402028-6;"Resección cutánea ampliada (incluye musculatura, ganglios y huesos subyacentes; desplazamiento de colgajos)";1008650
2648;1402038-7;"**Maxilectomía parcial (incluye paladar óseo; reparación con colgajo)";3053200
8348;1701006;"E.C.G. continuo (test Holter o similares, por ej. variabilidad de la frecuencia cardíaca y/o alta resolución del ST y/o depolarización tardía); 20 a 24 horas de registro";307080
7977;1701131;"Angioplastía Intraluminal coronaria uno o múltiples vasos (incl. proc. rad; balón, rotablator, Stent o similar)";13445300
2547;1703010-10;"Puente aorto-bifemoral; puentes de troncos supra-aórticos";6036660
